id;annee;Value
356;2019;180.4
356;2020;190.5
356;2021;199.8
360;2000;44.0
360;2005;68.7
360;2010;100.0
360;2015;132.3
360;2019;151.2
360;2020;154.1
360;2021;156.5
364;2015;91.6
364;2019;175.4
364;2020;229.0
364;2021;328.3
368;2000;18.2
368;2005;58.6
368;2010;100.0
368;2015;118.5
368;2019;119.6
368;2020;120.3
368;2021;127.6
372;2000;78.4
372;2005;93.1
372;2010;100.0
372;2015;104.7
372;2019;106.6
372;2020;106.2
372;2021;108.7
376;2000;80.9
376;2005;87.8
376;2010;100.0
376;2015;106.7
376;2019;108.1
376;2020;107.5
376;2021;109.1
380;2000;80.7
380;2005;91.0
380;2010;100.0
380;2015;107.5
380;2019;110.6
380;2020;110.4
380;2021;112.5
388;2000;33.8
388;2005;56.0
388;2010;100.0
388;2015;141.1
388;2019;162.5
388;2020;171.0
388;2021;181.0
392;2000;102.7
392;2005;100.4
392;2010;100.0
392;2015;103.6
392;2019;105.5
392;2020;105.5
392;2021;105.2
400;2000;66.1
400;2005;74.5
400;2010;100.0
400;2015;116.4
400;2019;125.0
400;2020;101.1
400;2021;102.5
398;2000;43.8
398;2005;61.5
398;2010;100.0
398;2015;137.3
398;2019;188.5
398;2020;201.2
404;2000;38.1
404;2005;55.5
404;2010;100.0
404;2015;150.2
404;2019;190.0
404;2020;200.2
404;2021;212.5
296;2010;100.0
296;2015;99.5
296;2019;100.5
414;2000;69.9
414;2005;76.1
414;2010;100.0
414;2015;118.1
414;2019;126.6
414;2020;129.3
414;2021;133.7
417;2000;49.0
417;2005;59.8
417;2010;100.0
417;2015;146.4
417;2019;155.7
417;2020;165.5
417;2021;185.2
418;2000;48.1
418;2005;78.5
418;2010;100.0
418;2015;125.8
418;2019;135.9
418;2020;142.8
418;2021;148.2
428;2000;59.2
428;2005;72.1
428;2010;100.0
428;2015;107.6
428;2019;116.9
428;2020;117.1
428;2021;121.0
422;2010;100.0
422;2015;115.0
422;2019;130.0
422;2020;240.4
422;2021;612.4
426;2000;50.7
426;2005;71.0
426;2010;100.0
426;2015;127.0
426;2019;155.9
426;2020;163.6
426;2021;173.5
430;2005;61.8
430;2010;100.0
430;2015;147.6
434;2000;98.8
434;2005;79.8
434;2010;100.0
440;2000;74.4
440;2005;77.7
440;2010;100.0
440;2015;107.6
440;2019;118.4
440;2020;119.8
440;2021;125.4
442;2000;80.1
442;2005;89.7
442;2010;100.0
442;2015;109.2
442;2019;115.1
442;2020;116.0
442;2021;119.0
450;2000;37.7
450;2005;62.9
450;2010;100.0
450;2015;139.5
450;2019;124.6
450;2020;129.8
450;2021;137.3
454;2000;32.4
454;2005;64.2
454;2010;100.0
454;2015;250.6
454;2019;418.3
454;2020;454.4
458;2000;80.5
458;2005;87.7
458;2010;100.0
458;2015;112.8
458;2019;121.5
458;2020;120.1
458;2021;123.1
462;2000;71.1
462;2005;0.0
462;2010;100.0
462;2015;132.0
462;2019;136.6
462;2020;134.7
462;2021;135.4
466;2000;76.4
466;2005;85.9
466;2010;100.0
466;2015;110.3
466;2019;108.7
466;2020;109.2
466;2021;113.5
470;2000;78.8
470;2005;88.9
470;2010;100.0
470;2015;108.2
470;2019;113.5
470;2020;114.2
470;2021;115.9
474;2010;100.0
474;2015;106.3
474;2019;109.3
478;2019;110.5
478;2020;113.1
478;2021;117.1
480;2000;56.9
480;2005;72.9
480;2010;100.0
480;2015;119.8
480;2019;130.0
480;2020;133.3
480;2021;138.7
484;2000;63.3
484;2005;80.5
484;2010;100.0
484;2015;119.4
484;2019;141.5
484;2020;146.4
484;2021;154.7
583;2000;72.4
583;2005;77.6
583;2010;100.0
583;2015;112.7
496;2000;41.6
496;2005;57.3
496;2010;100.0
496;2015;163.8
496;2019;120.4
496;2020;124.9
496;2021;133.8
499;2005;82.2
499;2010;100.0
499;2015;111.0
499;2019;116.7
499;2020;116.4
499;2021;119.2
500;2005;86.8
500;2010;100.0
500;2015;107.9
500;2019;109.2
500;2020;107.1
500;2021;108.9
504;2000;83.6
504;2005;89.7
504;2010;100.0
504;2015;106.2
504;2019;101.8
504;2020;102.5
504;2021;103.9
508;2010;100.0
508;2015;126.3
508;2019;182.3
508;2020;188.0
508;2021;198.7
104;2000;15.0
104;2005;44.5
104;2010;100.0
104;2015;129.3
104;2019;168.2
516;2005;71.4
516;2010;100.0
516;2015;128.9
516;2019;158.0
516;2020;161.5
516;2021;167.3
520;2010;100.0
524;2015;103.7
524;2019;128.4
524;2020;134.9
524;2021;140.4
528;2000;82.0
528;2005;92.7
528;2010;100.0
528;2015;109.3
528;2019;115.9
528;2020;117.4
528;2021;120.5
540;2010;100.0
540;2015;106.3
540;2019;110.2
540;2020;109.6
540;2021;110.3
554;2000;77.0
