Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
GUADELOUPE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUAM;1276;1308;1324;1079;1105;1231;1077;984;NULL;1069;1134;1134;1125;1034;983;1120;1082;1225;1251.7;1236.9;1320;1428.4;1433.1;1429.3;1556.8;290.1;26.6
GUATEMALA;12;12;14;15;15;17;22;24;22;23;25;28;30;30;20.2;22.2;22.6;25.5;27;30.7;31.4;30.4;33;32.2;30.8;7.2;5.7
GUINEA;NULL;NULL;1;1;1;1;2;2;2;2;3;3;3;1.6;NULL;1;10;5;5.7;3.6;3.2;6.2;NULL;NULL;NULL;NULL;NULL
GUINEA-BISSAU;NULL;NULL;NULL;NULL;NULL;NULL;0.2;NULL;NULL;NULL;0.1;1.6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUYANA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
HAITI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.9;0.6
HONDURAS;8;6;8;8;6;7;7;7;7;8;8;11;6.4;8.5;10.5;14.1;16.3;30;26.5;9.5;15.9;10.5;6.8;4.9;6;1.2;0.9
HONG KONG, CHINA;7805;10256;8695;7762;8853;10336;11047;13654;13410;18706;19707;21330;23848;25348;25659;31548;37378;44166;49914.8;56393.3;54847.1;52145.5;54070.8;60632.2;51966.7;3240.7;79
HUNGARY;60;68;76;81;86;107;93;83;77;392;396;416;440;433;439;448;515;459;591;650;730;854.5;1025.3;1107.5;1237.8;273.4;340.8
ICELAND;6;6;6;7;8;10;NULL;NULL;NULL;NULL;NULL;NULL;16;12;12;11;16;24;30;39;64.2;89.2;185.1;218;216.2;41.2;12.2
INDIA;289;335;358;343;369;364;337;328;393;512;585;702;823;866;865;1063;1230;1322;1441;1518.7;1568;1711;1873.7;2022;2149;466.1;110.8
INDONESIA;3213;3936;4062;3608;3747;3909;3920;3877;3576;4266;3837;3795;4316;4849;4835;5376;5924;6237;6757;7227.1;7616.1;8205.4;10206.4;11418.3;11531.1;3110.1;1447.3
IRAN, ISLAMIC REPUBLIC OF;16;17;11;18;21;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;28;34;53;92;125;146.9;193.7;140.9;153.2;100.7;84.9;7.8;4.2
IRAQ;2;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
IRELAND;119;157;180;186;207;222;217;201;196;259;226;237;249;256;233;NULL;NULL;289;341;358;414;422;476;504;519;NULL;NULL
ISRAEL;102;111;107;66;99;111;53;36;42;66;88;94;110;130;95;142;147;172;182;176;177;227.3;324.8;344.3;428.4;66.2;9
ITALY;1100;1989.7;2018.2;1626.9;1346.5;1362.6;1224.8;1428.3;1090.8;1242.9;1207.9;1283.5;1456;1362.7;1396.9;1417.6;1646.4;1656.9;1939;1882.4;2040.2;2036.3;2169.9;2191.6;2208.6;389.3;156
JAMAICA;25;25;20;14;12;11;9;8;9;8;8;8;9;8;7;7;7;8;8.7;9;10.7;10.3;10.4;9.1;9.4;1.7;1.3
JAPAN;2149;2540;2817;2622;2925;3149;3189;3528;3625;4338;4761;5362;6268;6307;4941;6654;4796;6489;8240;10961.8;16834.5;20647;24961.7;27034.7;27139.5;3488.8;119.5
JORDAN;46;47;48;47;47;42;29;43;44;60;64;83;126;146;138;149;154;175;177;170.4;136.5;100.6;131.9;137.1;158.2;36.1;14.7
KAZAKHSTAN;NULL;NULL;NULL;NULL;NULL;69;69;66;72;97;114;153;220;198;170;149;178;200;249;278.2;170.5;179.1;177.4;144.3;183.8;30.7;21.7
KENYA;52;36;44;38;43;46;44;44;51;82;92;153;168;111;122;162;217.5;206.4;124.6;107.9;93.6;110.3;116.5;109.4;112.1;21.3;41.8
KIRIBATI;2.4;2.6;2.8;3.2;2.8;2.6;2.5;2.7;2.9;2.1;2.4;2.7;3.1;2.5;2.7;3.2;2.9;2.5;3.5;3.1;2.2;3.9;3.7;4.6;5.1;0.9;0.06
KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
