Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
CURAÇAO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;223;229;258;282;321;357;377;383;419;428;447;452;411;127;72
CYPRUS;473.48215;500.42850000000004;511;536;560;543;568;582;700.2939717123945;906.6398199817521;1001;1031.16116;1553.8293;1968;1742;1320;1366;1318;1254;1343;1453;1559.3185239272;1378;1569;1635;752;882
CZECH REPUBLIC (CZECHIA);1635;2960;2355;1908;1493;1276;1386;1797;2177;2682;2603;2874;3895;5029;4336;4354;4876;4556;4698;5173;4819;4962;5533;6074;6034;3447;3279
DENMARK;4288;4140;4194;4577;4899;4669;4861;5838;6659;7279;6850;7486;8830;9698;8968;9082;9840;9600;10072;10443;8918;9174;9804;10538;10037;5636;7468
DJIBOUTI;16.3;17.3;17.1;15.9;11.6;14.8;12.9;7.7;9.899999999999999;14.0;14.4;15.0;14.2;15.5;17.5;20.5;33.5;29.599999999999998;19.2;21.5;28.5;23.5;27.8;22.3;25;14.9;16.8
DOMINICA;6;7;7;8;9;9;9;9;9;9;10;10;11;11;13;13;12;12;13;39;34;33;28;29;31;8;9
DOMINICAN REPUBLIC;267;313;339;380;391;440;425;429;408;448;511;495;531;532;523;662;689;690;679;717;803;882;940;1006;1060;441;1093
ECUADOR;331;313;331;325;385;416;465;507;500;577;644;706;733;790;806;863;917;944;989;990;994;1454;1463;1523;1650;533;1343
EGYPT;1371;1382;1431;1271;1218;1206;1248;1309;1465;1543;1932;2156;2886;3390;2941;2696;2575;3037;3261;3486;3636;4351;2419;2897;3718;2568;3315
EL SALVADOR;99;102;153;179;205;219;247;266;311;373;288;307;363;326;253;280;244;287;270;277;332;451;466;490;515;168;334
EQUATORIAL GUINEA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ERITREA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ESTONIA;121;141;162;197;255;253;253;305;404;486;530;706;804;939;605;633;806;796;1236;1346;1169;1299;1395;1647;1808;676;793
ESWATINI;45;44;40;60;35;32;31;26;23;54;60;54;63;59;98;87;35;53;48;62;64;33;74;43;35;36.4;42.4
ETHIOPIA;30;30;48;51;57;80;50;55;63;59;77;97;107;156;139;143;170;181;214;283;372;461;363.5;612.7;661;322.5;641.5
FIJI;82;88;87;67;82;96;84;79;88;118;132;113;106;108;108;102;116;110;105;99;115;119;138;160;174;77;74.39999999999999
FINLAND;2853;2760;2541;2565;2525;2293;2442;2440;2956;3385;3620;4099;4812;5577;5236;5268;6013;5841;6387;6326;5786;6199;6740;7223;6841;1914;1562
FRANCE;20699;22049;17490;18819;31630;29016;28781;30270;35807;36362;38633;39319;46042;50373;45087;46695;55509;50068;52444;58464;47713;49029;53787;59131;59754;30493;37653
FRENCH GUIANA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
FRENCH POLYNESIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;264;335;425;430;122;153;388;339;335;327;300;293;312;277;226;152;177;NULL;NULL;NULL
GABON;182;168;156;158;195;183;256;234;239;275;346;NULL;328;490;476;560;658;441;404;509;346;NULL;NULL;NULL;NULL;NULL;NULL
GAMBIA;16;15.5;17;NULL;NULL;NULL;NULL;NULL;8;6;7;8;13;12;12;14;16;13;10.4;55.4;5.4;7.2;8.5;10.4;10.0;3.7;12.399999999999999
GEORGIA;NULL;NULL;171;239;135;129;136;189;170;196;237;257;277;337;311;329;384;471;537;563;609;706;853;960;1124;292;347
GERMANY;66527;64725;59000;60253;61215;57607;56437;59550;72839;80321;84513;85717;96170;105691;92899;90866;99909;96196;102668;101737;85334;87412;89736;95199;93097;38752;47815
GHANA;74;59;61;145;151;162;165;184;216;270;472;575;816;870;948;882;1026;976;982;947;1405;1571;1581;1329;1380;946;1271
GREECE;1495;1396;1537;1756;4014;4564;4190;2456;2441;2882;3044;3005;3430;3946;4122;3400;3809;3005;3768;4003;3535;3412;3306;3910;4211;1500;2221
GRENADA;5;5;6;6;7;8;8;8;8;9;10;16;16;11;10;10;10;11;11;34;40;40;38;42;52;14;15
GUADELOUPE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUAM;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUATEMALA;167;163;146;190;216;216;266;329;373;488;532;655;737;821;751;843;883;926;995;1029;1020;1032;1066;1105;1128;344;455
GUINEA;29;37;39;34;29;13;26;38;36;29;38;41;96;30;28;16.0;49.2;41.7;60.5;28.799999999999997;38.0;16.3;102.4;411.7;419.5;1075.1000000000001;1.0
GUINEA-BISSAU;5.8;4.7;3.5;NULL;NULL;NULL;5.5;10.2;21.3;22.299999999999997;18.9;17.8;40.7;46.1;26.0;29.5;38.6;24.5;27.2;53;53;33;63;74.6;88.89999999999999;53.1;NULL
GUYANA;21;65;69;69;82;77;62;44;30;30;40;49;58;52;52;73;79;82;81;77;93;103;94;80;47;34.6;58.6
HAITI;35;37;35;138;135;173;168;172;202;206;174;239;331;383;427;431;458;473;418;475;503;221;207;227;179;46;57
HONDURAS;99;110;115;142;166;198;205;221;274;300;321;425;309;385;361;406;446;549;506;437;454;482;517;558;655;200;424
HONG KONG, CHINA;10497;11461;12678;13474;13134;12502;12317;12418;11447;13270;13305;14044;15042;16095;15547;17357;19022;20077;21215;22011;23059;24141;25386;26436;26879;5520;3355
HUNGARY;1501;1491;1511;1496;1590;1722;1887;2211;2700;2482;2721;2319;3088;3857;3251;2897;3048;2457;2526;2712;2456;2738;3049;3239;3352;1325;1704
