Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
DJIBOUTI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
DOMINICA;13;12;12;12;12;11;11;10;11;10;10.3;11.3;10.8;13.8;11.6;10.7;11.6;12.8;13.6;14.7;13.8;14.6;15;10.8;17.4;5.2;2
DOMINICAN REPUBLIC;NULL;863;1014;1064;1206;1283;1142;1031;1251;1271;1372;1389;1343;1311;1205;1143;1132;1095;1081.7;1138.3;1100.9;1221.1;1388.6;1334.3;1267.9;375;807.8
ECUADOR;95;105;108;108;107;104;112;113;124;134;147;145;180;198;197.5;198.1;207.2;218.4;217.6;316.1;319;318.2;336.6;351.6;361.9;105.4;164.6
EGYPT;1811;2343;2394;1957;3224;3805;3132;3584;4204;5920;6047;6260;7937;9622;9416;11177;7211;8416;6976;7577.8;6793.8;2586.2;4671.7;6947.7;8380.9;2303.1;NULL
EL SALVADOR;25;33;27;27;26;27;22;22;30;33;31;29;41;33;19;20;34;26;32;30.4;30.8;33.3;40.4;42.6;53.8;10.5;24.7
EQUATORIAL GUINEA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ERITREA;9;11;12;8;4;6;10;8;8;10;8;6;5;5;5;5;5;4;1;1;2;2;NULL;NULL;NULL;NULL;NULL
ESTONIA;2072;2365;2548;2784;3091;NULL;949;967;1081;1334;1411;1382;1333;1388;1332;1502;1731;1782;1849.6;1872;1779.6;1901.3;1972.2;1933.7;2021.7;629.7;515.9
ESWATINI;33;38;104;76;73;85;85;40;88;111;108;110;119;108;114;85;67;74;87;101.1;104.5;114.2;131.1;112.6;91.5;18.7;5.4
ETHIOPIA;36;39;41;32;29;33;37;39;46;52;62;76;89;95;119;137;163;181.3;200.7;231.4;259.4;261.2;280.3;248;242.5;50;56.4
FIJI;55;61;68;69;69;52;51;65;72;70;70;65;61;63;55;54;56;46;46.4;47.4;47.9;48.6;51.6;53.7;52.9;10.3;0.6
FINLAND;NULL;NULL;NULL;3095;3059;3487;3916;4245;4157;4417;4581;4891;5205;5540;5182;5646;6641;6923;2218.4;2111.9;1934;1946.9;2202.8;2217;2286.8;650.2;662.3
FRANCE;NULL;54788;58515;61643;64453;67580;66491;69078;68072;64789;65217;67392;69272;67305;65245;65040.1;67122.8;68553.6;69388.2;68323.2;67037.2;64727.9;68292.8;69955;72766.5;38054.5;44185
FRENCH GUIANA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;45;NULL;NULL;64;NULL;67;NULL;NULL;NULL;NULL;NULL;NULL;NULL;65;71.7;83.1;NULL;NULL;NULL;NULL
FRENCH POLYNESIA;74;74;84;87;92;NULL;84;76;80;80;82;83;85;83;73;67;64;63;58;62.4;62.5;65.6;68.7;80.7;92.9;34.9;39
