id;Region/Country/Area;Year;Series;Value;Footnotes;Source
20;Andorra;2020;Consumer price index: General;106.2;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
20;Andorra;2021;Consumer price index: General;108.1;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
20;Andorra;2005;Consumer price index: Food;92.0;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
20;Andorra;2010;Consumer price index: Food;100.0;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
20;Andorra;2015;Consumer price index: Food;108.2;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
20;Andorra;2019;Consumer price index: Food;115.8;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
20;Andorra;2020;Consumer price index: Food;118.7;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
20;Andorra;2021;Consumer price index: Food;120.6;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
24;Angola;2000;Consumer price index: General;2.9;Estimate.;Luanda;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
24;Angola;2005;Consumer price index: General;53.7;Estimate.;Luanda;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
24;Angola;2010;Consumer price index: General;100.0;Estimate.;Luanda;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
24;Angola;2015;Consumer price index: General;159.4;Estimate.;Luanda;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
24;Angola;2019;Consumer price index: General;378.9;Estimate.;Luanda;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
24;Angola;2005;Consumer price index: Food;45.5;Estimate.;Luanda;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
24;Angola;2010;Consumer price index: Food;100.0;Estimate.;Luanda;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
24;Angola;2015;Consumer price index: Food;167.3;Estimate.;Luanda;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
660;Anguilla;2000;Consumer price index: General;68.4;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
660;Anguilla;2005;Consumer price index: General;81.0;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
660;Anguilla;2010;Consumer price index: General;100.0;Break in the time series.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
660;Anguilla;2015;Consumer price index: General;105.1;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
660;Anguilla;2019;Consumer price index: General;107.1;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
660;Anguilla;2020;Consumer price index: General;106.6;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
660;Anguilla;2021;Consumer price index: General;108.5;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
660;Anguilla;2010;Consumer price index: Food;100.0;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
660;Anguilla;2015;Consumer price index: Food;111.4;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
660;Anguilla;2019;Consumer price index: Food;116.0;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
660;Anguilla;2020;Consumer price index: Food;117.4;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
660;Anguilla;2021;Consumer price index: Food;120.4;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
28;Antigua and Barbuda;2000;Consumer price index: General;81.1;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
28;Antigua and Barbuda;2005;Consumer price index: General;89.5;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
28;Antigua and Barbuda;2010;Consumer price index: General;100.0;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
28;Antigua and Barbuda;2015;Consumer price index: General;110.3;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
28;Antigua and Barbuda;2019;Consumer price index: General;115.4;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
28;Antigua and Barbuda;2020;Consumer price index: General;116.2;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
28;Antigua and Barbuda;2021;Consumer price index: General;118.6;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
32;Argentina;2019;Consumer price index: General;232.8;Index base: December 2016=100.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
32;Argentina;2020;Consumer price index: General;330.5;Index base: December 2016=100.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
32;Argentina;2021;Consumer price index: General;490.6;Index base: December 2016=100.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
32;Argentina;2019;Consumer price index: Food;234.8;Index base: December 2016=100.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
32;Argentina;2020;Consumer price index: Food;345.0;Index base: December 2016=100.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
32;Argentina;2021;Consumer price index: Food;517.0;Index base: December 2016=100.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
51;Armenia;2000;Consumer price index: General;65.0;Estimate.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
51;Armenia;2005;Consumer price index: General;76.4;Estimate.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
51;Armenia;2010;Consumer price index: General;100.0;Estimate.;Break in the time series.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
51;Armenia;2015;Consumer price index: General;124.8;Estimate.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
51;Armenia;2019;Consumer price index: General;129.2;Estimate.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
51;Armenia;2020;Consumer price index: General;130.7;Estimate.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
51;Armenia;2021;Consumer price index: General;140.1;Estimate.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
51;Armenia;2010;Consumer price index: Food;100.0;Estimate.;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
51;Armenia;2015;Consumer price index: Food;127.1;Estimate.;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
533;Aruba;2000;Consumer price index: General;72.0;Break in the time series.;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
533;Aruba;2005;Consumer price index: General;84.1;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
533;Aruba;2010;Consumer price index: General;100.0;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
533;Aruba;2015;Consumer price index: General;103.4;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
533;Aruba;2019;Consumer price index: General;109.2;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
533;Aruba;2020;Consumer price index: General;107.8;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
533;Aruba;2021;Consumer price index: General;108.6;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
533;Aruba;2005;Consumer price index: Food;73.6;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
533;Aruba;2010;Consumer price index: Food;100.0;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
533;Aruba;2015;Consumer price index: Food;85.4;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
533;Aruba;2019;Consumer price index: Food;135.5;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
533;Aruba;2020;Consumer price index: Food;134.8;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
533;Aruba;2021;Consumer price index: Food;134.5;Calculated by the UN Statistics Division from national indices.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
36;Australia;2000;Consumer price index: General;74.4;Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
36;Australia;2005;Consumer price index: General;86.3;Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
36;Australia;2010;Consumer price index: General;100.0;Break in the time series.;Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
36;Australia;2015;Consumer price index: General;112.0;Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
36;Australia;2019;Consumer price index: General;119.8;Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
36;Australia;2020;Consumer price index: General;120.8;Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
36;Australia;2021;Consumer price index: General;124.3;Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
36;Australia;2010;Consumer price index: Food;100.0;Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
36;Australia;2015;Consumer price index: Food;107.6;Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
36;Australia;2019;Consumer price index: Food;112.9;Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
36;Australia;2020;Consumer price index: Food;116.6;Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
36;Australia;2021;Consumer price index: Food;117.9;Calculated by the UN Statistics Division from national indices.;Weighted average of index values computed for the 8 capital cities.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
40;Austria;2000;Consumer price index: General;82.6;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
40;Austria;2005;Consumer price index: General;91.4;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
40;Austria;2010;Consumer price index: General;100.0;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
40;Austria;2015;Consumer price index: General;110.7;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
40;Austria;2019;Consumer price index: General;118.1;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
40;Austria;2020;Consumer price index: General;119.8;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
40;Austria;2021;Consumer price index: General;123.1;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
40;Austria;2000;Consumer price index: Food;79.1;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
40;Austria;2005;Consumer price index: Food;88.1;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
40;Austria;2010;Consumer price index: Food;100.0;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
40;Austria;2015;Consumer price index: Food;114.4;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
40;Austria;2019;Consumer price index: Food;121.0;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
40;Austria;2020;Consumer price index: Food;123.8;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
40;Austria;2021;Consumer price index: Food;124.8;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
31;Azerbaijan;2000;Consumer price index: General;49.0;Break in the time series.;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
31;Azerbaijan;2005;Consumer price index: General;61.1;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
31;Azerbaijan;2010;Consumer price index: General;100.0;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
31;Azerbaijan;2015;Consumer price index: General;117.7;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
31;Azerbaijan;2019;Consumer price index: General;156.9;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
31;Azerbaijan;2020;Consumer price index: General;161.2;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
31;Azerbaijan;2021;Consumer price index: General;172.0;;"United Nations Statistics Division (UNSD); New York; Monthly Bulletin of Statistics (MBS); last accessed June 2022."
