Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
CUBA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CURAÇAO;172;173;217;231;221;308;300;319;279;219;276;322;341;353;423;383;401;436;584;629;565.8;469.5;634.4;757.3;809.9;256.2;146.2
CYPRUS;94;87;95;112;127;209;124;64;96;121;178;221;246;221;225;271;216;163;207;135;108;85;77;62;112.3;NULL;NULL
CZECH REPUBLIC (CZECHIA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
DENMARK;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
DJIBOUTI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
DOMINICA;24;22;20;20;24;22;21;22;25;26;21;23;24;26;27;28;28;32;31;30.5;31;30.8;29.9;26.7;40;8.4;0.4
DOMINICAN REPUBLIC;30;111;271;393;283;183;208;247;398;457;290;303;385;475;497;353;348;338;424;435;529;809.3;1108;982;1104;343;333.1
ECUADOR;9;11;9;10;6;5;5;6;5;8;5;4;7;9;8;8;21;27.2;12;64.4;65;61.5;55;44.3;49.6;9.5;3.3
EGYPT;353;516;476;385;455;583;451;437;454;646;1094;660;268;287;242;277;185;235;233;125.6;100.2;92.8;91.4;100;100.4;NULL;NULL
EL SALVADOR;NULL;NULL;NULL;NULL;5;5;6;5;1;1;1;1;1;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.3;NULL;NULL;NULL;NULL
EQUATORIAL GUINEA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ERITREA;5;3;5;2;3;3;2;2;2;2;1;2;2;1;NULL;NULL;NULL;1;1;1;1;1;NULL;NULL;NULL;NULL;NULL
