Arrivee
AR;1998;3012
AM;1998;32
AT;1998;17352
BD;1998;172
BY;1998;363
BE;1998;6179
BT;1998;6.2
BO;1998;387
BA;1998;148
BW;1998;1614
BR;1998;4818
VG;1998;126
BN;1998;214
BF;1998;160
BI;1998;15
CV;1998;52
KH;1998;287
CM;1998;247
CF;1998;7.5
TD;1998;70
CL;1998;1759
KM;1998;27
CG;1998;20
CD;1998;100
CK;1998;49
CZ;1998;5482
DK;1998;2073
DJ;1998;21
SV;1998;542
EE;1998;2490
ET;1998;112
FI;1998;2797
FR;1998;77190
GF;1998;68
PF;1998;213
GM;1998;91
DE;1998;16511
GH;1998;348
GR;1998;15007
GU;1998;1137
GN;1998;23
GY;1998;66
IN;1998;13107
IE;1998;6428
KI;1998;5.7
LB;1998;631
LI;1998;59
LU;1998;789
MG;1998;138
MW;1998;220
MY;1998;25715
MV;1998;396
ML;1998;83
MH;1998;6.4
FM;1998;13.4
MD;1998;70
MC;1998;390
MM;1998;478
NP;1998;464
NL;1998;9312
NE;1998;41
NU;1998;1.7
MK;1998;157
NO;1998;5126
OM;1998;424
PK;1998;429
PW;1998;64
PG;1998;67
PE;1998;732
PH;1998;2209
PT;1998;6756
QA;1998;320
WS;1998;78
SN;1998;378
RS;1998;283
SL;1998;12.9
SK;1998;896
SI;1998;2236
SB;1998;15.8
PS;1998;37
SD;1998;36
SE;1998;2573
CH;1998;7185
TH;1998;11737
TG;1998;69
TN;1998;5359
TM;1998;10.8
TC;1998;111
TV;1998;1
UG;1998;195
AE;1998;2991
YE;1998;88
ZM;1998;362
AS;1999;41
AO;1999;45
AR;1999;2898
AM;1999;41
AT;1999;17467
BD;1999;173
BY;1999;315
BE;1999;6369
BT;1999;7.2
BO;1999;342
BA;1999;147
BW;1999;1544
BR;1999;5107
BN;1999;242
BF;1999;117
BI;1999;26
CV;1999;67
KH;1999;368
CM;1999;262
CF;1999;10
TD;1999;71
CL;1999;1632
KM;1999;24
CG;1999;14
CD;1999;123
CK;1999;56
CZ;1999;5610
DK;1999;2023
DJ;1999;21
SV;1999;658
ET;1999;115
FI;1999;2731
FR;1999;75202
GF;1999;70
PF;1999;212
GM;1999;96
DE;1999;17116
GH;1999;373
GR;1999;16427
GU;1999;1162
GN;1999;27
GY;1999;75
IN;1999;13284
IE;1999;6747
KI;1999;3.9
LB;1999;673
LI;1999;60
LU;1999;863
MG;1999;160
MW;1999;254
MY;1999;27437
MV;1999;430
ML;1999;82
MH;1999;4.6
MR;1999;24
FM;1999;16.1
MD;1999;73
MC;1999;398
MM;1999;435
NP;1999;492
NL;1999;9874
NE;1999;39
NU;1999;1.9
MK;1999;181
NO;1999;5398
OM;1999;503
PK;1999;432
PW;1999;55
PG;1999;67
PE;1999;700
PH;1999;2207
PT;1999;7264
QA;1999;357
WS;1999;85
SA;1999;6585
SN;1999;387
RS;1999;152
SL;1999;10.6
SK;1999;975
SI;1999;2377
PS;1999;56
SD;1999;39
SE;1999;2595
CH;1999;7154
TH;1999;11567
TG;1999;70
TN;1999;5724
TM;1999;8.2
TC;1999;121
TV;1999;1.1
UG;1999;189
AE;1999;3393
YE;1999;58
ZM;1999;404
AS;2000;48
AO;2000;51
AR;2000;2909
AM;2000;45
AT;2000;17982
BD;2000;199
BE;2000;6457
BT;2000;7.6
BO;2000;319
BA;2000;171
BW;2000;1966
BR;2000;5313
BN;2000;209
BF;2000;126
BI;2000;29
CV;2000;115
KH;2000;466
CM;2000;277
CF;2000;11.2
TD;2000;77
CL;2000;1742
KM;2000;24
CG;2000;19
CD;2000;75
CK;2000;73
CZ;2000;4773
DK;2000;3898
DJ;2000;20.1
ET;2000;136
FI;2000;2622
FR;2000;77012
PF;2000;208
GM;2000;79
DE;2000;18983
GH;2000;399
GR;2000;15518
GU;2000;1287
GN;2000;33
GY;2000;105
IN;2000;14570
IE;2000;6991
KI;2000;3.9
LB;2000;742
LI;2000;61.6
LU;2000;852
MG;2000;170
MW;2000;228
MY;2000;25721
MV;2000;481
ML;2000;86
MH;2000;5.2
MR;2000;30
FM;2000;20.5
MD;2000;60
MC;2000;452
MM;2000;416
NP;2000;464
NL;2000;10003
NE;2000;50
NU;2000;1.9
MK;2000;224
NO;2000;5429
OM;2000;571
PK;2000;557
PW;2000;58
PG;2000;58
PE;2000;808
PH;2000;2006
PT;2000;7503
QA;2000;378
RW;2000;104
WS;2000;88
SA;2000;6727
SN;2000;411
RS;2000;239
SL;2000;15.8
SK;2000;1053
SI;2000;2502
SB;2000;5.2
PS;2000;88
SD;2000;38
SE;2000;3828
CH;2000;7821
TH;2000;13822
TG;2000;60
TN;2000;7052
TM;2000;14.8
TC;2000;152
TV;2000;1.1
UG;2000;193
AE;2000;3907
YE;2000;73
ZM;2000;457
AS;2001;40.9
AO;2001;67
AR;2001;2620
AM;2001;123
AT;2001;18180
BD;2001;207
BE;2001;6452
BT;2001;6.4
BO;2001;316
BA;2001;139
BR;2001;4773
BN;2001;225
BF;2001;128
BI;2001;36
CV;2001;134
KH;2001;605
CM;2001;221
CF;2001;9.9
TD;2001;86
CL;2001;2504
KM;2001;19.4
CG;2001;27
CD;2001;48
CK;2001;75
CZ;2001;5405
DK;2001;4088
DJ;2001;21.6
ET;2001;148
FI;2001;2789
FR;2001;75048
GF;2001;65
PF;2001;222
GM;2001;57
DE;2001;17861
GH;2001;439
GU;2001;1159
GN;2001;38
GW;2001;7.8
GY;2001;99
IE;2001;6697
KI;2001;4.7
LB;2001;837
LI;2001;56.5
LU;2001;836
MG;2001;62
MW;2001;266
MY;2001;26757
MV;2001;471
ML;2001;89
MH;2001;5.4
FM;2001;15.3
MD;2001;64
MC;2001;414
MM;2001;475
NP;2001;361
NL;2001;9500
NE;2001;52
NU;2001;1.4
MK;2001;99
NO;2001;5872
PK;2001;500
PW;2001;54
PG;2001;54
PE;2001;909
PH;2001;1805
PT;2001;9177
QA;2001;376
RW;2001;113
WS;2001;88
SA;2001;7511
SN;2001;422
RS;2001;351
SL;2001;24.1
SK;2001;1219
SI;2001;2675
PS;2001;123
SD;2001;50
SE;2001;4676
CH;2001;7455
TH;2001;14464
TG;2001;57
TN;2001;8299
TM;2001;11.6
TC;2001;166
TV;2001;1.1
UG;2001;205
AE;2001;4134
YE;2001;76
ZM;2001;492
AS;2002;2.8
AO;2002;91
AR;2002;2820
AM;2002;162
AT;2002;18611
BD;2002;207
BE;2002;6720
BT;2002;5.6
BO;2002;334
BA;2002;160
BR;2002;3785
BN;2002;201
BF;2002;150
BI;2002;74
CV;2002;126
KH;2002;787
CM;2002;226
CF;2002;2.9
TD;2002;97
CL;2002;2214
KM;2002;18.9
CG;2002;22
CD;2002;55
CK;2002;73
CZ;2002;4743
DK;2002;3629
DJ;2002;22.5
ET;2002;156
FI;2002;3180
GF;2002;65
GM;2002;81
DE;2002;17969
GH;2002;483
GU;2002;1059
GN;2002;43
GY;2002;104
IE;2002;6781
KI;2002;5.3
LB;2002;956
LI;2002;48.7
LU;2002;885
MG;2002;139
MW;2002;383
MY;2002;25948
MV;2002;491
ML;2002;96
MH;2002;6
FM;2002;19.1
MD;2002;75
MC;2002;375
ME;2002;136
MM;2002;487
NP;2002;275
NL;2002;9595
NE;2002;39
NU;2002;2.1
MK;2002;123
NO;2002;6619
PK;2002;498
PW;2002;59
PG;2002;54
PE;2002;1072
PH;2002;1943
PT;2002;10497
QA;2002;587
WS;2002;89
SA;2002;7332
SN;2002;441
RS;2002;312
SL;2002;28.4
SK;2002;1399
SI;2002;3022
SD;2002;52
SE;2002;4883
CH;2002;6868
TH;2002;14584
TG;2002;58
TN;2002;9429
TM;2002;5.6
TC;2002;155
TV;2002;1.3
UG;2002;254
AE;2002;5445
YE;2002;98
ZM;2002;565
AS;2003;8.2
AO;2003;107
AR;2003;2995
