Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
ERITREA;315;417;410;188;57;70;113;101;80;87;83;78;81;70;79;84;107;129;141;119;114;142;NULL;NULL;NULL;NULL;NULL
ESTONIA;2111;2444;2618;2909;3181;3310;3230;3253;3378;NULL;NULL;NULL;NULL;3828;3834;4369;4907;5007;5737;5804;5696;5942;6145;6033;6103;1695;1310
ESWATINI;NULL;1337;1635;986;1253;1151;1312;1371;1543;NULL;1182;1200;1230;1186;1344;1343;1328;1278;1299;1325;1256;1279;1343;1277;1226;345.3;210.7
ETHIOPIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
FIJI;476;534;547;499;544;434;446;461;451;513;547;NULL;542;627;605;692;734;741;769;781;869;963;1027;1058;969;168;NULL
FINLAND;NULL;NULL;NULL;3432;3363;3789;4252;4687;4527;4854;5038;5345;5736;6072;5695;6182;7260;7636;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
FRANCE;NULL;148263;157551;NULL;NULL;NULL;NULL;NULL;NULL;190282;185829;193882;193319;193571;192369;189826;196595;197522;204410;206599;203302;203042;207274;211998;217877;117109;141297
FRENCH GUIANA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
FRENCH POLYNESIA;186;184;201;211;236;NULL;NULL;NULL;NULL;NULL;NULL;NULL;243;227;190;179;196;210;214;228;239;241;254;264;300;89.4;83
GABON;203;217;247;274;262;230;236;269;234;351;526;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GAMBIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;459;460;613;487;643;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GEORGIA;85;117;313;317;384;387;302;298;313;368;560;983;1052;1290;1500;2032;2712;4106;4954;5004;5256;5393;6483;7203;7726;1513;1721
GERMANY;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GHANA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GREECE;10712;9782;10588;11364;12606;13567;14678;14918;14785;14268;15938;17284;NULL;NULL;NULL;NULL;NULL;NULL;20112;24272;26114;28071;30161;33072;34005;7406;15246
GRENADA;369;386;368;392;379;316;277;271;294;370;380;342;406;428;460;445;447;370;327;387;437;474;468;529;526;217;72
GUADELOUPE;1059;1236;1130;914;854;994;759;NULL;569;560;445;447;500;527;458;497;419;487;645;720;822;857;970;1166;NULL;NULL;NULL
GUAM;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUATEMALA;563;520;576;636;823;826;835;884;880;1182;1316;1502;1628;1715;1311;1384;1434;1491;1516;1739;1865;1906;2120;2406;2560;594;666
GUINEA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;46.6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUINEA-BISSAU;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUYANA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
HAITI;370;400;387;393;386;445;499;482;518;385;480;558;868;758;826;793;946;959;1064;1127.6;1190;1153;1262;1333;938;322;148
HONDURAS;NULL;271;310;324;428;689;672;788;887;1026;1118;1136;1309;1561;1589;1965;1852;1903;1857;2082;2093;2228;2144;2323;2315;669;826
HONG KONG, CHINA;10200;12974;11273;10160;11328;13059;13725;16566;15537;21811;23359;25251;28169;29507;29591;36030;41921;48615;54299;60839;59308;56655;58472;65148;55913;3569;91.4
HUNGARY;39240;39833;37315;33624;28803;31141;30679;31739;31412;33934;36173;38318;39379;39554;40624;39904;41304;43565;43611;45984;48345;52890;54962;57667;61397;31641;36688
ICELAND;211;223;223;255;281;328;329;315;348;405;429;477;539;561;563;559;628;765;900;1102;1389;1891;2353;2488;2202;488;717
INDIA;2143;2308;2395;2382;2508;2677;2591;2428;2774;3512;4038;4626;5244;5373;5295;5881;NULL;NULL;NULL;NULL;NULL;NULL;15543;17423;17914;6337;7010
INDONESIA;4324;5034;5185;4606;4728;5064;5153;5033;4467;5321;5002;4871;5506;6234;6324;7003;7650;8044;8802;9435;10407;11519;14040;15810;16107;4053;1558
