Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
DENMARK;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;122;8.1;10
DJIBOUTI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
DOMINICA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.1;0.2;0.2;0.25;0.36;0.45;0.6;0.5;0.4;0.4;0.4;0.1;0.2
DOMINICAN REPUBLIC;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ECUADOR;1;1;1;1;1;1;1;2;2;2;2;1;1;2;3.1;3.1;2.3;2.6;4.5;4.2;5.8;3.7;3.8;3.9;6.2;0.9;0.9
EGYPT;130;116;120;131;151;147;146;161;183;245;264;302;387;401;455;491;435;428;399;398.7;418.4;498.3;645.9;801.2;911.3;332.3;NULL
EL SALVADOR;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;NULL;NULL;NULL;NULL;1;1;0.5;0.4;0.4;0.5;0.7;0.6;0.1;0.3
EQUATORIAL GUINEA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ERITREA;182;255;280;119;4;4;7;8;3;5;3;4;5;5;7;8;21;31;31;27;26;24;NULL;NULL;NULL;NULL;NULL
ESTONIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;1;1;1;1;1;2;2;1.6;2;2.1;2.1;2.6;2.8;3.9;0.7;1.5
ESWATINI;253;264;131;201;199;177;145;173;110;152;1043;1056;1075;1041;1191;1218;1225;1165.2;1170;1177.8;1104.5;1111;1156.3;1116.3;1087.7;315.2;196.8
ETHIOPIA;31;28;29;25;27;34;35;63;69;64;82;90;92;116;150;140;160;169;216.8;232.4;260.6;262.5;281.6;249.3;243.7;136.7;341.7
FIJI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
FINLAND;NULL;NULL;NULL;9;10;10;8;7;9;6;12;13;11;11;7;14;11;16;7.4;7.9;8.8;8.6;11.2;11.5;11.9;2.8;2.7
FRANCE;NULL;996;1030;1064;981;1074;921;924;889;1596;1421;1434;1576;1765;1823;1876.7;2310.7;2275.7;2349.6;2483.4;2773.6;2926.7;2799.2;2919.9;3249.1;649.8;750
FRENCH GUIANA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
FRENCH POLYNESIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;0.3;0.3;0.3;0.3;0.3;0.4;0.3;0.1;0.1
GABON;21;28;33;48;41;38;42;52;55;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GAMBIA;1;1;1;2;1;1;NULL;1;5;1;3;4;3;3;3;2;15;16;23;15;14.8;13.4;13.2;16.6;22.1;6;7.8
