Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
CUBA;357;419;497;595;697;784;835;788;917;1026;1216;1149;1173;1380;1536;1288.6;1401.2;1542.4;1590.7;1680.8;1960;1998.7;2307.9;2343;2169.4;569;90.1
CURAÇAO;125;127;125;125;120;121;125;141;126;129;123;127;174;265;211;171;210;234.5;244.7;241.6;256.8;219.5;181.8;199.7;208.9;58;74.8
CYPRUS;NULL;NULL;NULL;26;31;39;30;27;23;23;29;26;30;28;24;31;32;25;28;20;23;22.5;34.3;51.1;65;7.8;23.6
CZECH REPUBLIC (CZECHIA);149;234;257;318;313;271;297;239;282;380;401;435;441;434;398;460;480;613;650;689.7;770;790.1;842.3;842.2;880.3;96.1;121.7
DENMARK;NULL;94;95;101;101;84;89;80;78;126;698;711;625;627;648;646;684;589;598.7;672;688.5;693.4;955.5;1002.3;1497.7;326.9;548.9
DJIBOUTI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
DOMINICA;47;51;52;53;61;57;54;58;61;69;68.2;71.8;69.4;66.6;62.5;64.8;62.9;64.8;63.4;65.4;58.8;62.3;55.5;50.1;70.3;16;12.2
DOMINICAN REPUBLIC;NULL;702;732;805;925;1153;1239;1261;1504;1597;1711;1948;2046;2128;2203;2368;2559;2818;2972.6;3316.1;3721.8;3902.4;3949.3;4266.3;4071.1;1318.2;2837.1
ECUADOR;331;374;406;388;396;503;511;550;617;662;691;642;730;753;734.5;810.3;885.4;996;1085.7;1300;1271.2;1168.4;1383.5;2102.4;1662.6;387.4;496.7
EGYPT;229;259;257;217;277;341;251;171;188;257;298;341;430;486;489;563;287;285;240;244.3;294;278.9;358.3;456.3;548.2;172.4;NULL
EL SALVADOR;205;245;343;498;596;720;660;733;682;908;1086;1240;1285;1343;1067;1123;1140;1220;1242;1304.9;1360.6;1386.9;1502.4;1623.1;1699.5;536;1190.2
EQUATORIAL GUINEA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ERITREA;2;3;3;2;1;2;3;2;2;3;2;1;1;1;1;1;1;1;1;1;1;1;NULL;NULL;NULL;NULL;NULL
ESTONIA;30;56;45;79;65;NULL;17;16;15;23;24;24;28;25;23;27;32;40;37;44;56.1;50.4;52.1;61.5;66.6;8;15.3
ESWATINI;6;6;17;5;10;11;20;10;11;5;17;19;19;20;20;20;19;20.3;21;22.7;23.4;24.2;25.6;22.8;21.1;4.2;2.2
ETHIOPIA;14;15;16;15;16;20;20;27;32;34;41;61;68;59;78;95;96;121.2;129.7;150.3;168.6;171.7;182.5;176.5;160.5;39.2;68.1
FIJI;50;50;58;61;76;63;68;69;69;78;75;81;82;82;65;66;69;70;67.6;74.4;79.5;81.4;93.6;99.3;110.2;20.1;4.6
FINLAND;NULL;NULL;NULL;164;161;154;161;182;151;159;160;167;174;163;151;150;181;223;121;127.9;135;149.1;174.4;189.5;195.8;51.25;53.2
FRANCE;NULL;4191;4556;4849;5029;5698;5291;4639;3954;4786;4950;5406;6024;5963;5491;5379.7;6338.7;6132.5;6224.8;6619.8;7090.8;8131.4;8631.6;8956;8269;1653.8;1920
FRENCH GUIANA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;18;NULL;NULL;25;NULL;37;NULL;NULL;NULL;NULL;NULL;NULL;NULL;21.7;23.9;27.7;NULL;NULL;NULL;NULL
FRENCH POLYNESIA;60;55;54;62;80;NULL;107;72;89;86;80;89;81;71;52;53;64;67;68.3;78.2;79;82.1;82.2;91.1;104;35.6;42.5
GABON;19;21;24;27;6;2;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GAMBIA;NULL;1;1;1;1;1;1;1;1;3;1;2;2;2;2;2;2;3;3;4;3.9;4;4.3;5.1;6.3;3;8.9
GEORGIA;3;3;4;5;9;11;8;7;9;11;15;19;17;18;20;25;21.1;25.5;24.2;27.6;30.8;33.9;42.5;55.2;61.6;9.6;24.2
GERMANY;1889;1942;2127;2351;2400;2865;2334;2151;2049;2337;2398;2783;2706;2572;2476;2883;2914;3155;3192;3271.8;3487;3508.5;3889.5;4084.7;4142;797.3;873.5
GHANA;24;26;27;29;31;34;37;41;45;49;63;74;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;52.2;90.5;93.4;141.7;53.2;103
GREECE;324;298;314;292;305;300;232;217;219;236;417;513;843;849;729;691;719;559;754.4;890;1094.7;1099.7;1271.8;1680.5;1817.9;169.7;467.8
GRENADA;52;50;52;55;64;62;66;77;80;77;59;65;64;66;62;59;65;57.8;64;75.2;78.9;80.1;92.7;103.7;106;27.1;26.1
GUADELOUPE;12;11;17;7;8;126;13;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2;NULL;NULL;NULL;57;NULL;24.4;NULL;NULL;NULL;NULL;NULL;NULL
GUAM;57;36;44;42;42;42;43;43;NULL;47;46;45;50;54;56;62;62;63;59.7;69.6;71;78.7;77.9;103.2;95.2;34.7;50.3
GUATEMALA;446;409;457;505;693;688;676;712;704;1007;1148;1325;1444;1518;1088.4;1163;1218.1;1275.1;1293.2;1494.6;1611.4;1632.3;1803.1;2063;2242.6;502.2;615.1
GUINEA;NULL;NULL;2;2;4;4;4;3;4;4;5;2;2;2.4;NULL;1.2;18;9;6.1;3.3;3.7;6.5;NULL;NULL;NULL;NULL;NULL
GUINEA-BISSAU;NULL;NULL;NULL;NULL;NULL;NULL;0.4;NULL;NULL;NULL;0.5;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUYANA;97;85;69;54;NULL;96;89;95;91;111;105;102;118;118;131;141;146;163.6;185.5;190.1;190.6;216.9;230;267.1;291.1;78.9;149.1
HAITI;129;133;133;131;130;128;129;127;125;91;104;99;332;199;335;221;309;296.9;358.5;420.1;431.8;405.4;427.4;411.8;267.1;194.3;140.6
HONDURAS;227;225;266;280;331;420;460;493;557;585;610;666;732;789.8;744.2;753.2;758.8;734.4;714;789.7;782.4;744.7;772.3;782.1;678.4;192;433.3
HONG KONG, CHINA;986;1083;1125;1105;1155;1296;1259;1347;926;1400;1565;1631;1784;1685;1568;1750;1821;1778;1665.6;1679.1;1728.1;1773.3;1781.8;1872.5;1600.8;123;2.6
HUNGARY;170;205;191;181;160;203;181;170;174;476;490;521;533;548;557;547;615;577;635;723;811;863.5;944.4;1013.7;1073.8;252.8;288.6
ICELAND;30;34;36;44;48;58;NULL;40;47;52;58;60;58;51;55;65;95;114;144;191;289.5;498.4;679.4;794.5;534;59.7;233.9
