Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
DJIBOUTI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
DOMINICA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.1;0.1;0.1;0.1;0.1;NULL;NULL
DOMINICAN REPUBLIC;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ECUADOR;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;0.6;0.7;0.6;0.9;1.2;1.1;1.2;1.5;2.2;2.8;2.6;0.9;1.2
EGYPT;742;829;893;986;897;890;868;1013;1189;1318;1511;1706;1687;1676;1571;1761;1511;1965.5;1494;1343.3;1422.4;1580.7;1962.2;2403.1;2418.3;643.4;NULL
EL SALVADOR;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
EQUATORIAL GUINEA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ERITREA;3;1;1;2;2;2;4;4;3;4;4;3;2;1;1;1;1;1;1;NULL;1;2;NULL;NULL;NULL;NULL;NULL
ESTONIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ESWATINI;4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.3;0.3;0.4;0.4;0.3;0.1;0.1
ETHIOPIA;9;13;14;13;13;15;15;17;19;18;20;31;28;25;37;42;47;51.3;58.7;68.1;76.3;75.5;82.2;70.1;70.3;7.8;10.3
FIJI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
FINLAND;NULL;NULL;NULL;3;2;2;3;4;NULL;NULL;4;4;12;12;9;NULL;NULL;NULL;5.4;6.3;7.8;9.2;12.2;14.5;20.6;5.1;6.3
FRANCE;NULL;262;273;234;233;399;325;249;210;565;573;544;775;703;835;950.4;821;858.7;1010.6;1099.2;1351.9;1255.2;1351.3;1449.4;1346.6;269.3;310
FRENCH GUIANA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
FRENCH POLYNESIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.3;0.4;0.3;0.6;0.6;0.6;0.7;0.1;0.1
GABON;2;3;3;4;5;2;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GAMBIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GEORGIA;NULL;NULL;1;1;2;2;1;1;2;2;1;2;2;3;3;3;4.5;13.8;56.3;34;46.1;71.4;131.5;125.8;156.2;17;114.5
GERMANY;62;76;84;97;93;106;117;128;143;160;185;202;223;242;259;336;343;449;517;587.4;698;673.1;660.8;636;604.3;96;166
GHANA;2;2;2;3;3;3;3;4;4;4;11;10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16;9;8;19;12;10
GREECE;45;51;44;42;50;72;71;64;55;55;72;71;46;48;56;45;28;36;73;86;111.7;NULL;NULL;NULL;NULL;NULL;NULL
