Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
COTE D´IVOIRE;NULL;NULL;14;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;904;951.0999999999999;1080.7;1212.3999999999999;1280.1;384;NULL
CROATIA;15603;18454;22919;24690;28513;36303;39072;40543;41467;42851;43212;44872;49038;47914;44221;45328;46032;43061;44054;46838;51300;52515;53662.200000000004;51471.5;53276.9;20703.800000000003;31709.1
CUBA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CURAÇAO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CYPRUS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CZECH REPUBLIC (CZECHIA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
DENMARK;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
DJIBOUTI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
DOMINICA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
DOMINICAN REPUBLIC;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ECUADOR;149;176;173;148;168;240;214;245;306;315;315;279;291;282;261;289;337;396.4;393;442.7;434.7;405.8;612.3;1298.3;837.6;103.2;14.8
EGYPT;705;801;738;788;800;733;397;475;749;881;800;812;906;1049;898;1838;1501;1452;994;741.7;706.4;712.5;900.7;1270.7;1609.3999999999999;NULL;NULL
EL SALVADOR;81;119;181;352;423;556;505;541;457;501;627;795;811;892;661;723;714;714;694;753.9;803;817.8;913.3;949.9;992.7;256;406
EQUATORIAL GUINEA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ERITREA;254;356;343;151;28;33;52;48;29;34;37;41;41;31;44;44;65;49;92;73;81;57;NULL;NULL;NULL;NULL;NULL
ESTONIA;420;579;713;859;NULL;940;935;880;999;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ESWATINI;276;1315;1615;965;1236;1131;1299;1357;1526;NULL;1160;1178;1203;1159;1318;1317;1306;1256;1277;1308.4;1236;1258.2;1322.5;1257.7;1206.5;334;199.1
ETHIOPIA;NULL;NULL;24;21;23;27;32;25;20;11;34;40;46;53;56;65;73;83;20;21.8;25;25.2;27.3;15.6;43.8;14;43.7
