Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
COMOROS;NULL;2;NULL;2;1;1;0.3;0.5;0.2;0.2;0.6;0.8;1;1;0.5;0.6;1.3;NULL;0.7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CONGO;1;1;1;1;1;1;2;1;3;7;7;7;3;2;4;6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CONGO, DEMOCRATIC REPUBLIC OF THE;NULL;NULL;NULL;20;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10;27;NULL;27.5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
COOK ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;1;NULL;NULL;1;1;NULL;NULL;1;1.5;1.5;1.4;1.7;2;2.1;2.1;0.3;NULL
COSTA RICA;3;3;4;5;6;7;7;5;5;7;1;1;NULL;4;NULL;0.6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
COTE D´IVOIRE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CROATIA;23;26;34;18;13;21;21;26;37;42;48;59;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CUBA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;375.7;398.7;384.7;373.7;361.3;390.7;432.5;530.8;602.4;624.4;150.4;52.8
CURAÇAO;17;3;3;4;10;4;7;7;4;5;4;3;4;7;6;7;11;11.2;20.2;23.3;10.6;13.9;11.4;10.2;10.9;4.5;6.3
CYPRUS;155;72;56;8;3;3;NULL;NULL;1;2;1;1;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;17.4;18;16.1;19.6;22.8;6.8;17.2
CZECH REPUBLIC (CZECHIA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
DENMARK;NULL;151;160;123;113;90;93;86;95;147;375;449;452;416;446;461;447;373;417.6;483;420.2;408.7;621.8;651;362.8;460.3;468.9
DJIBOUTI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
DOMINICA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.3;0.4;0.4;0.3;NULL;NULL;NULL;NULL;NULL;0.1;NULL;NULL;NULL;NULL;NULL;NULL;NULL
DOMINICAN REPUBLIC;1776;358;462;438;516;535;487;498;524;578;603;624;582;533;577;605;604;640;626;677.5;767.6;826;834.8;952.2;1090;706.6;1340.4
ECUADOR;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;34;1;16;NULL;NULL;NULL;NULL;6.7;0.4;0.3;0.2;0.2;0.2;0.1;0.04;0.1
EGYPT;2;61;36;2;2;3;2;2;3;5;4;4;18;39;38;36;21;25;22.5;24.6;25.2;15.4;18.1;68.7;79.6;35.4;NULL
