Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
BARBADOS;434;438;461;499;507;538;498;492;526;546;544;557;575;568;519;532;568;536;509;521;592;632;664;680.3;522.6;207.4;143.5
BELARUS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;122;162;194;200;231;256;253;268;294;324;818.1;992.1;1084.9;1198.9;438.4;414.2
BELGIUM;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BELIZE;94;94;98;109;115;132;134;130;152;163;175;179;183;178;168;172;182;212;223.5;239;255.9;298.2;322.2;369.5;384.4;110.4;201.6
BENIN;NULL;NULL;NULL;NULL;36;62;NULL;NULL;NULL;NULL;NULL;NULL;81;71;81;88;73;95;107.4;97.5;99.7;105.6;112.4;114.7;115;121.1;NULL
BERMUDA;387;390;380;370;355;332;278;284;257;272;270;299;306;264;236;232;236;232;236;224;220;244;269.6;282;269;42.1;72.2
BHUTAN;4.8;5.2;5.4;6.2;7.2;7.6;6.4;4.1;5.1;6.6;11.7;14;16;23;19;35;57;59.5;60.8;65.9;86;103.5;126.9;142.4;142.9;11.2;0.001
BOLIVIA, PLURINATIONAL STATE OF;168;194;245;279;236;233;208;199;222;240;267;242;247;224;226;239;287;292;331;375.4;410.3;397.9;417.6;415;383;107.5;127.2
BONAIRE;59;65;63;62;61;51;50;52;62;63;63;64;74;74;67;71;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BOSNIA AND HERZEGOVINA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;262;290;334;395;432;535;562;570;113;360
BOTSWANA;28;30;34;37;41;NULL;77;95;71;66;NULL;68;83;85;NULL;NULL;NULL;NULL;NULL;130;128.7;119.5;119.4;129.3;NULL;14.8;NULL
BRAZIL;1343;1894;2005;2421;2534;2723;2960;2815;3083;3569;3938;3713;3747;3691;3349;3610;3808;3987;4066;4540;4318.4;4368.9;4187.5;4328.1;4288.5;1185.6;585.4
BRITISH VIRGIN ISLANDS;104;108;108;128;129;136;144;135;153;220;205;165;147;132;105;109;93;86;88;84.4;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BRUNEI DARUSSALAM;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;119;126;158;179;226;157;214;242;209;225;201;218;218.8;259;278;333.2;62.3;3.5
BULGARIA;827;947;981;933;651;776;1008;1185;1409;1715;2007;2203;2318;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BURKINA FASO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;108;102;97;95;103;109;133;54;94.5
BURUNDI;14;11;3;6;10;12;14;18;17;39;49;49;44;46;49;33;31;41;92;86;46;74;89;NULL;NULL;NULL;NULL
CABO VERDE;28;37;45;52;67;83;115;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
CAMBODIA;220;260;219;186;263;351;408;523;456;626;857;1027;1297;1239;1112;1304;1481;1722;2018;2273.5;2476;2704.4;3312.7;4096.9;4404;756.3;99.8
CAMEROON;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;199;217;224;218;267;279;351;269;244;308.2;400.7;463.8;474.7;489.1;NULL;NULL
CANADA;5731;6319;6622;6941;7351;7634;7348;7193;6408;7497;7746;7785;7818;7651;6781;7162.453;7254.559;7418.364;7176.738;7728.425;8422.46;9802.459;10576.827;10372.079;10998.995;1663.698;1594.899
CAYMAN ISLANDS;361;373;381;404;395;354;334;303;294;260;168;267;292;303;272;288;309;322;345;383;385;385;418.4;463;503;121.8;17.3
CENTRAL AFRICAN REPUBLIC;26;21;17;7.5;10;11.2;9.9;2.9;5.7;8.2;12;13.7;17.1;30.6;52.4;53.8;65.4;70.8;84;96;121;82;107;109;87;35;NULL
CHAD;NULL;NULL;NULL;27;31;38;79;80;54;48;21;42;74;58;67;62;74;84;97;119;120;98;87;77;79;11;40
CHILE;552;571;655;683;640;662;649;606;708;760;855;912;1055;1086;1030;1052;1265;1445;1475;1534.96;1710;1985;2569.3;2364.3;2078.9;422.6;185.9
CHINA;4813;5325;5856;5559;6627;7745;8617;10343;8080;12617;14736;16500;18815;16813;16301;20014;20911;21421;20744.2;21086.2;21012.3;22675.6;23070;24448.1;25298.6;NULL;NULL
COLOMBIA;294;495;546;645;510;520;549;507;551;701;834;936;1055;1068;1192;1145.9;1384.5;1284.1;1394;1576.7;1852.7;2094.2;2310.6;2570.1;2671.1;758.2;1234
COMOROS;23;24;26;27;24;24;19.4;18.9;14.4;17.6;19.6;17.1;15.2;14.8;11.3;15.3;18.8;22.8;21.9;22.8;23.6;26.8;28;35.9;45.1;7;28.8
CONGO;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;113;115;136;150;151;163.2;132.5;97.4;95.7;NULL;NULL;NULL
CONGO, DEMOCRATIC REPUBLIC OF THE;20;NULL;NULL;NULL;NULL;NULL;26;28;35;36;39;41;47;50;53;81;160;156;180;NULL;187.4;186.2;NULL;NULL;NULL;NULL;NULL
COOK ISLANDS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
COSTA RICA;581;560;582;669;734;801;812;798;928;1088;1244;1232;1357;1424;1320;1418;1464;1552;1617.4;1721;1859;2114.9;2189.2;2314.9;2418.3;789.8;1270.5
COTE D´IVOIRE;188;237;260;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;205;231;252;270;289;380;471;537;632.2;719.6;752.3;790;284.1;576
CROATIA;419;522;577;631;580;740;813;887;1006;1202;1566;1825;2033;2055;1947;2136;2299;2505;2689;2879;3119;3566;4222.3;4699.1;5153.4;882.1;2123.5
CUBA;742;999;1153;1390;1561;1741;1736;1656;1847;2017;2261;2150;2119;2316;2405;2507;2688;2823;2839;2981;3506;3975;4594;4684;4263;1085;356
CURAÇAO;224;214;205;206;212;205;219;226;228;233;234;250;323;420;385;378;436;471;487;500;506.5;474.3;423.2;452.4;483.1;180.2;272.1
CYPRUS;2159;2002;2099;2245;2451;2703;2717;2431;2320;2357;2479;2408;2425;2410;2145;2179;2410;2471;2419;2453;2672;3201;3673;3962;4004.6;NULL;NULL
CZECH REPUBLIC (CZECHIA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
DENMARK;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
DJIBOUTI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;133;142;168;75;114
DOMINICA;44;47;48;47;54;50;47;49;52;56;58;62;56;55;48;49;48;47;47;51;44;47.6;42.4;37.3;50;13.2;14.4
DOMINICAN REPUBLIC;1776;1926;2211;2309;2649;2978;2882;2811;3282;3450;3691;3965;3980;3980;3992;4125;4306;4563;4690;5141.4;5600;5959.3;6188;6568.9;6446;2405;4994.3
ECUADOR;281;307;348;353;343;383;422;432;450;496;540;557;639;714;699;750;783;848.3;959;1187.4;1176.7;1101.8;1138.2;1192.5;1220.5;394.6;651.3
EGYPT;2076;2579;2747;2281;3542;4190;3800;4280;4841;6577;6713;7610;9917;11500;11396;12616;8159;9845;8237;9010.4;8521.1;4593.6;7300.3;9975.7;11316.6;NULL;NULL
EL SALVADOR;154;164;206;189;230;234;224;253;262;449;499;483;527;490;430;426;470;541;589;591.3;599;615.8;642.5;727.4;772.9;293;813
EQUATORIAL GUINEA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ERITREA;56;58;62;35;26;34;59;51;49;51;45;35;38;38;35;40;42;79;48;45;32;84;NULL;NULL;NULL;NULL;NULL
ESTONIA;105;130;135;150;NULL;149;152;161;185;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ESWATINI;23;22;20;21;17;20;13;14;17;NULL;22;22;27;27;26;25;22;23;22;16.2;20;20.4;20.1;19.5;19;11.4;11.6
ETHIOPIA;103;109;115;91;92;109;116;131;160;173;193;290;312;330;371;403;450;513;661;748.6;839;845.4;906.1;833.5;767.8;256.6;474.5
FIJI;313;396;424;365;404;287;342;390;422;NULL;537;538;527;570;528;613;654;642;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
FINLAND;NULL;NULL;NULL;1222;1208;1427;1558;1603;1577;1640;1734;1999;2049;2265;2036;2214;2533;2434;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
FRANCE;NULL;9136;9670;NULL;NULL;NULL;11574;NULL;NULL;14882;16325;17825;20710;21895;19520;18593.6;21190.4;22233.1;23580.5;23670;26326.8;26350.3;27508.9;28880.3;29395.1;NULL;NULL
FRENCH GUIANA;NULL;NULL;NULL;NULL;NULL;NULL;65;65;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;87;96;111;NULL;NULL;NULL;NULL
FRENCH POLYNESIA;166;164;180;189;211;252;228;189;213;212;208;222;218;196;160;154;163;169;164;181;184;192;199;216;237;77;83
GABON;125;145;167;195;178;155;169;208;222;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GAMBIA;45;77;85;91;96;79;57;81;89;90;108;125;143;147;142;91;106;157;171;156;135;161.1;162.1;209.1;235.8;89.2;102.4
GEORGIA;15;27;200;72;200;72;58;67;73;96;131;179;161;192;199;245;342.5;431;584.6;639.9;737.7;998.8;1439.7;1788.4;1829.3;269.2;877.2
GERMANY;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;70924;75672;77771;79298;82072;85658;88747;94671;99763;102244;26432;34307
GHANA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
