Pays;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
DENMARK;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;21070;25692;25718;25963;25713;25536;25631;25078;25632;25727;26966;27038;27568;29265;29265.4;30575;15693;17922
DJIBOUTI;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;71.9;78.1;95.1;33.3;59.5
DOMINICA;50;51;53;54;60;57;54.3;56.3;60.3;66.5;66.5;70.5;71.5;65.9;60.5;62.3;61.7;65.6;65.60000000000001;67.8;61.5;65.2;59.8;51.1;80.2;19.1;11.8
DOMINICAN REPUBLIC;1665;1826;2085;2264;2542;2855;2784;2706;3186;3356;3563;3822;3821;3839;3851;3959;4147;4413;4535.4;5007;5484.8;5843.5;6080.5;6433.5;6323.5;2325.2;4880.7
ECUADOR;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;788;858.4;1016;1195;1626;1610;1456;1564.6000000000001;2257.5;1796.4;386.90000000000003;453.4
EGYPT;NULL;NULL;3564;3129;4331;4999;4271;4811;5607;7613;8062;8504;10515;12185;11735;13924;9411;11095;9025;9483.8;9057;5210.5;8083.2;11095.2;12759.6;NULL;NULL
EL SALVADOR;230;272;213;200;406;490;494;794;564;742;863;937;996;968;923;985;1041;1100;1136.4;1187.5;1236.4;1231.1999999999998;1419.4;1524.5;1653.4;516;1171.4
EQUATORIAL GUINEA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ERITREA;236;239;235;92;42;49;91;80;64;74;71;66;71;62;72;77;100;123;137;116;114;136;NULL;NULL;NULL;NULL;NULL
ESTONIA;1745;1984;2029;2269;2458;2549;2470;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ESWATINI;NULL;222;215;191;208;204;190;147;339;338;1014;1026;1065;1035;1193;1214;1193;1151;1169;1170;1045.6;1097.1999999999998;1152.1;1097.6;1040;296;139.7
ETHIOPIA;60;68;71;59;62;74;84;113;131;138;165;192;251;265;308;354;382;408;492.70000000000005;556.5999999999999;622.8;716.2;861.5;652.8;635;NULL;495.4
FIJI;290;314;331;340;377;272;323;367;398;465;502;503;504;540;500;587;627;619;625.7;655.5;710.6;737.9;786.4000000000001;818;837.4000000000001;136.7;29.4
FINLAND;NULL;NULL;NULL;2267;2224;2527;2931;3414;3270;3540;3558;3738;4040;4284;4244;4701;5604;5860;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
FRANCE;NULL;54422;57928;NULL;NULL;NULL;65336;NULL;NULL;63578;66627;69876;72570;68107;66530;66944.1;69378.2;71800.8;73455.1;71928.5;72605;71020;74916;78258;79652.78;NULL;NULL
FRENCH GUIANA;NULL;NULL;NULL;NULL;NULL;NULL;35;41;NULL;NULL;47;NULL;42;NULL;46;NULL;NULL;NULL;NULL;NULL;52;57.3;66.5;NULL;NULL;NULL;NULL
FRENCH POLYNESIA;164;157;168;180;NULL;NULL;218;177;199;199;195;208;206;181;147;142;151;157;153;167.1;171.20000000000002;174.5;186;204.29999999999998;222.3;71.6;76.2
GABON;91;122;134;151;137;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GAMBIA;45;77;85;91;96;79;57;81;89;89;103;122;140;139;101;70;85;NULL;NULL;NULL;133.3;159.89999999999998;156.4;199.70000000000002;231.7;NULL;96
GEORGIA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4722.299999999999;4847.2;5950.799999999999;6579.5;6894.3;NULL;NULL
GERMANY;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GHANA;NULL;NULL;NULL;NULL;NULL;254;279;307;338;371;270;308;329;419;482;NULL;NULL;NULL;NULL;NULL;NULL;446.7;283.9;331.9;508.7;158.7;346.70000000000005
GREECE;9748;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GRENADA;98;NULL;98;91;NULL;71;104;113;121;103;79;100;104;104;95;89;98;95.5;98.7;113.30000000000001;121.10000000000001;120.6;134.4;149.7;152.1;40.8;39.1
GUADELOUPE;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;369;393;NULL;622;408;435;NULL;NULL;NULL;NULL;NULL;NULL
GUAM;NULL;NULL;1347;1106;1135;1249;1314;1006;834;1090;1148;1149;1145;1061;1007;1146;1111;1255;1287;1286;1340.8;1464;1474.3000000000002;1485.6;1604.4;264.1;29
GUATEMALA;389;359;397;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1187;1285;1320;1065.5;1101.3;1151.1999999999998;1196.4;1216.9;1401.8;1469.8000000000002;1669.3;1818.6999999999998;2067.1;2203.2;509.29999999999995;531.5999999999999
GUINEA;NULL;NULL;NULL;4;13;16;19;22;24;26;25;26;18;14;NULL;5.5;76.3;57.699999999999996;27.5;17.6;17.1;30;47.3;NULL;NULL;NULL;NULL
GUINEA-BISSAU;NULL;NULL;NULL;NULL;NULL;NULL;4.5;NULL;NULL;NULL;3.2;7.2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GUYANA;101;90;74;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;132.3;138.2;158.5;179.4;182.6;179.8;205.3;215.8;251.2;268.1;70.9;131.2
HAITI;119;NULL;122;120;117;NULL;NULL;NULL;118;82;90;86;309;238;326;211;303;NULL;366.79999999999995;413.9;462.8;403.4;427.70000000000005;416.9;269.4;192.7;139.1
HONDURAS;220;204;260;265;306;402;449;466;518;544;571;603;543;583;547;626;661;647;683;657;696.8;678.3;690.8;703.8;621.5999999999999;184;420.5
HONG KONG, CHINA;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;10247;11201;11959;13638;13689;13855;16661;18753;20185;22094;23940;22690.4;22511.3;23935;25326.2;20719.3;NULL;NULL
HUNGARY;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;32365;34433;36608;37755;37704;39030;38269;39882;42175;42283;44780;47016;51585;53772.399999999994;56396.600000000006;59755;30190.153;34352.1
ICELAND;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
INDIA;1618;1754;1820;1867;1915;2043;2459;2272;2538;3357;3785;4360;4807;3724;4267;4915;4890;5098;5275;6535;NULL;7432.7;8670.9;8838.599999999999;9324.599999999999;2424.2;1337.5
INDONESIA;2957;2918;2731;3007;2828;2971;2958;2977;2553;3130;2939;2861;3344;3801;4006;4433;4904;5260;5721;6272.5;6932.7;7655.700000000001;10972.1;12355.7;12587.6;1501.2;841
IRAN, ISLAMIC REPUBLIC OF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;4926;NULL;NULL;NULL;NULL;NULL
IRAQ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
IRELAND;3938;4076;4283;4460;4663;4817;5475;5638;5949;6063;6423;6976;7224;6819;6225;6115;6548;6411;7039;7513;8149;8705;8937;9568;9487;NULL;NULL
ISRAEL;1860;1679;1599;1555;1942;2127;981;698;850;1219;1591;1588;1840;2238;1973;2455;2425;2453;2606;2549;2435;2575;3208.5;3708.8;4101;NULL;NULL
ITALY;NULL;52811;49514;49577;51280;52961;51159;52931;53272;49882;50039;55520;58278;58327;58247;59695;61958;61770;62576;64058;67747;70275;75394;78850.9;80523.5;29763;30048.7
JAMAICA;1085;1099;1128;1157;1180;1256;1208;1193;1279;1337;1394;1578;1597;1658;1730;1819;1846;1886;1912;1983;2022;2083.2;2260.8;2381.1;2587;846.9000000000001;1449.9
JAPAN;2297;2711;3016;3001;3250;3464;3535;3952;3930;4755;5251;5811;6771;6896;5597;7217;4975;6915;8899;11876.300000000001;18096;22337.8;26908.399999999998;29396.6;30124.6;3899.7999999999997;227.5
JORDAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2636;2863;3063;3332;3389;3908;3679;3866;3647;3735;3493.7999999999997;3110.6;3351.5;3619;3913.8;930.6;1756.1999999999998
KAZAKHSTAN;NULL;NULL;NULL;NULL;NULL;NULL;NULL;3032;2603;3466;3472;3684;4050;2923;2679;2909;5445.799999999999;5887.400000000001;5745.400000000001;5153.8;5385.4;5412.5;6514.6;7566;7061.5;1291.5;610.4
KENYA;873;899;899;807;875;938;902;915;964;1115;1273;1375;1575;1094;1310;1343;1512.5;1419.8;1260.8;1121.6;1022;1159.7;1250.1;NULL;NULL;NULL;621.7
KIRIBATI;2.7;3;3.5;3.9;3.4000000000000004;2.5999999999999996;2.7;1.7;2.3000000000000003;1.7;2.1;1.8;3.4;2.7;2.2;2.4;3.3;3.2;3.6999999999999997;3.0999999999999996;2.5;3.5;3.9;4.2;4.6;0.8999999999999999;0.01
KOREA, DEMOCRATIC PEOPLE´S REPUBLIC OF;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
KOREA, REPUBLIC OF;3535;3465;3696;4068;4473;5118;4934;5123;4521;5551;5718;5807;6089;6529;7506;8487;9524;10895;11848;13886.3;12988.1;17002.8;13103.8;15110.3;17250.1;2473.1;927
KUWAIT;NULL;NULL;28;33.7;53.9;42.3;26.2;62.4;76.3;88.4;95;169;271;245;283;198;259;289;263.4;188;130;158.1;137.9;156.3;115.6;71;64.4
KYRGYZSTAN;NULL;NULL;NULL;8;21;34;70;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LAO PEOPLE´S DEMOCRATIC REPUBLIC;NULL;266;334;360;NULL;NULL;594;NULL;547;841;1029;996;1445;1459;1707;2061;2591;3081;3450;3901;4408;3772.8;3245.9;3696.6;4101.1;NULL;NULL
LATVIA;NULL;1321;1426;1396;1382;1484;1605;1815;2061;2567;3333;4048;4485;4618;4075;4335;4741;4818.8;5106.4;5503.4;6023;6088.799999999999;6964.299999999999;7081.2;7631.6;2863.7000000000003;1775.8000000000002
LEBANON;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
LESOTHO;183;241;259;244;262;256;250;244;275;246;244;NULL;254;254;304;374;347;373;387;NULL;NULL;908.6;NULL;NULL;NULL;NULL;NULL
